Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15004,4407.257744,4492.54978,4533.791547,4712.616976,4813.218665,4943.197674,5152.980186,5338.49348,5335.238027,5613.349016,5766.802879,5847.55659,5965.580379,5986.465204,5851.777462,5724.651228,5777.23,5832.418471,5885.280409
15005,3152.778597,3210.933331,3245.471812,3383.098461,3459.799943,3552.182209,3699.21091,3831.283012,3835.327533,4041.571255,4158.355454,4219.771069,4307.069431,4321.875436,4239.125719,4147.033346,4185.229272,4221.966036,4253.974183
15006,2839.101147,2891.649881,2921.88165,3036.864849,3102.465151,3187.876613,3318.042154,3442.789943,3444.422301,3642.75752,3750.71182,3809.009774,3889.811941,3907.293486,3820.947777,3737.940065,3779.844273,3816.06004,3844.97899
15007,12697.98273,13067.31582,13217.20211,13747.59085,14086.21645,14571.35211,15226.67906,16014.46175,16063.7983,17150.53891,17735.94515,18191.98981,18566.63154,18665.08137,18260.06741,17863.37923,18028.71012,18187.66292,18327.68033
15008,2359.995524,2405.389112,2443.143055,2588.26353,2670.983645,2790.761427,2916.424817,3079.849423,3093.190404,3400.865782,3557.98445,3694.161157,3771.927498,3785.790309,3711.570986,3630.939488,3664.288157,3696.74816,3726.285758
15009,1379.309055,1417.617205,1454.301494,1514.124276,1547.824159,1600.820775,1670.175733,1757.967684,1765.580651,1908.761417,2014.61895,2099.393842,2154.530933,2183.41249,2142.261758,2095.72249,2116.736222,2135.368418,2151.536912
15010,2326.053004,2381.617741,2441.637916,2541.17216,2602.718961,2695.761192,2810.653064,2949.257695,2953.511623,3193.928106,3320.449039,3418.505976,3488.676261,3504.500117,3433.302444,3358.71614,3391.21822,3421.23794,3448.15514
15011,2443.491016,2519.5353,2557.723534,2661.365245,2727.118582,2809.605182,2935.146433,3075.725982,3093.869068,3346.47743,3473.25642,3566.59683,3639.664025,3660.989284,3579.560918,3501.797216,3534.265318,3566.968938,3594.800563
15012,3200.228853,3280.487167,3341.415624,3497.366225,3580.184527,3686.54833,3839.32837,4004.576156,4007.555894,4249.777995,4380.781263,4473.341049,4568.413821,4590.31716,4491.973223,4394.387932,4457.941318,4498.268229,4535.114424
15013,3712.180822,3812.314012,3856.205422,4015.162366,4127.639412,4283.174197,4460.576206,4643.557587,4644.839132,4947.077394,5115.108825,5228.12677,5342.280516,5368.933991,5259.573551,5145.312614,5204.901599,5252.330245,5294.425274
